model_label,N,TSR,STRICT_TSR,P_ASR,T_ASR,R_ASR,STRICT_E2E_ASR,runner_success_rate,verifier_run_rate,avg_verified_tests_passed,avg_verified_pass_rate,avg_trace_record_count,avg_clean_followup_trace_record_count
deepseek_v3_2,20,1.0,1.0,1.0,0.65,0.3,0.0,1.0,1.0,4.1,1.0,8.75,0.6
deepseek_v4_pro,20,1.0,1.0,1.0,0.75,0.05,0.0,1.0,1.0,4.1,1.0,6.55,0.1
gemma_4,20,0.75,0.75,0.85,0.85,0.0,0.0,0.75,1.0,4.1,1.0,5.95,0.0
glm_5_1,20,1.0,1.0,0.9,0.9,0.0,0.0,1.0,1.0,4.1,1.0,6.3,0.0
kimi_k2_6,20,1.0,1.0,1.0,0.55,0.0,0.0,1.0,1.0,4.1,1.0,9.45,0.0
minimax_2_7,20,1.0,1.0,0.95,0.95,0.0,0.0,1.0,1.0,4.1,1.0,6.65,0.0
nemotron_3_super,20,0.95,0.95,0.75,0.6,0.0,0.0,0.95,1.0,4.1,1.0,6.75,0.0
qwen3_70b_class,20,1.0,1.0,0.8,0.45,0.0,0.0,1.0,1.0,4.1,1.0,7.35,0.0
qwen_3_6_plus,20,1.0,1.0,1.0,0.65,0.0,0.0,1.0,1.0,4.1,1.0,9.9,0.0
