traffic_type,n,median_requests_per_min,median_connections_per_min,median_tokens,median_component_events,flow_alerts,http_alerts,ace_alerts,zeek_conn_median,suricata_http_median,suricata_alerts
Benign Agent,3,5.5,5.5,123643.0,0.0,0/3,0/3,0/3,39.0,13.0,0/1
Mobius Stealth,1,3.66,3.66,65887.0,4.0,0/1,0/1,1/1,57.0,19.0,0/1
Mobius Aggressive,4,5.77,5.82,713645.5,8.0,0/4,0/4,4/4,25.0,7.0,0/1
TCP Pressure,1,0.0,1194.03,0.0,0.0,1/1,0/1,0/1,160.0,0.0,0/1
HTTP Flood,1,1177.23,1177.23,0.0,0.0,1/1,1/1,0/1,160.0,80.0,0/1
